   jpnij     jpi     jpj     jpk  jpiglo  jpjglo
     287      31      25      40     398     898
NAREA nlci nlcj nldi nldj nlei nlej nimpp njmpp
    1   31   25    2    1   30   24   59    1
    2   31   25    2    1   30   24   88    1
    3   30   25    2    1   29   24  117    1
    4   30   25    2    1   29   24  145    1
    5   30   25    2    1   29   24  173    1
    6   30   25    2    1   29   24  201    1
    7   31   25    2    2   30   24   59   24
    8   31   25    2    2   30   24   88   24
    9   30   25    2    2   29   24  117   24
   10   30   25    2    2   29   24  145   24
   11   30   25    2    2   29   24  173   24
   12   30   25    2    2   29   24  201   24
   13   30   25    2    2   29   24  229   24
   14   31   25    2    2   30   24   88   47
   15   30   25    2    2   29   24  117   47
   16   30   25    2    2   29   24  145   47
   17   30   25    2    2   29   24  173   47
   18   30   25    2    2   29   24  201   47
   19   30   25    2    2   29   24  229   47
   20   31   25    2    2   30   24   88   70
   21   30   25    2    2   29   24  117   70
   22   30   25    2    2   29   24  145   70
   23   30   25    2    2   29   24  173   70
   24   30   25    2    2   29   24  201   70
   25   30   25    2    2   29   24  229   70
   26   31   25    2    2   30   24   88   93
   27   30   25    2    2   29   24  117   93
   28   30   25    2    2   29   24  145   93
   29   30   25    2    2   29   24  173   93
   30   30   25    2    2   29   24  201   93
   31   30   25    2    2   29   24  229   93
   32   30   25    2    2   29   24  257   93
   33   30   25    2    2   29   24  145  116
   34   30   25    2    2   29   24  173  116
   35   30   25    2    2   29   24  201  116
   36   30   25    2    2   29   24  229  116
   37   30   25    2    2   29   24  257  116
   38   30   25    2    2   29   24  285  116
   39   30   25    2    2   29   24  313  116
   40   30   25    2    2   29   24  173  139
   41   30   25    2    2   29   24  201  139
   42   30   25    2    2   29   24  229  139
   43   30   25    2    2   29   24  257  139
   44   30   25    2    2   29   24  285  139
   45   30   25    2    2   29   24  313  139
   46   30   25    2    2   29   24  201  162
   47   30   25    2    2   29   24  229  162
   48   30   25    2    2   29   24  257  162
   49   30   25    2    2   29   24  285  162
   50   30   25    2    2   29   24  313  162
   51   30   25    2    2   29   24  173  185
   52   30   25    2    2   29   24  201  185
   53   30   25    2    2   29   24  229  185
   54   30   25    2    2   29   24  257  185
   55   30   25    2    2   29   24  285  185
   56   30   25    2    2   29   24  313  185
   57   30   25    2    2   29   24  173  208
   58   30   25    2    2   29   24  201  208
   59   30   25    2    2   29   24  229  208
   60   30   25    2    2   29   24  257  208
   61   30   25    2    2   29   24  285  208
   62   30   25    2    2   29   24  313  208
   63   30   25    2    2   29   24  117  231
   64   30   25    2    2   29   24  145  231
   65   30   25    2    2   29   24  173  231
   66   30   25    2    2   29   24  201  231
   67   30   25    2    2   29   24  229  231
   68   30   25    2    2   29   24  257  231
   69   30   25    2    2   29   24  285  231
   70   30   25    2    2   29   24  313  231
   71   31   25    2    2   30   24   88  254
   72   30   25    2    2   29   24  117  254
   73   30   25    2    2   29   24  145  254
   74   30   25    2    2   29   24  173  254
   75   30   25    2    2   29   24  201  254
   76   30   25    2    2   29   24  229  254
   77   30   25    2    2   29   24  257  254
   78   30   25    2    2   29   24  285  254
   79   30   25    2    2   29   24  313  254
   80   30   25    2    2   29   24  341  254
   81   31   25    2    2   30   24   59  277
   82   31   25    2    2   30   24   88  277
   83   30   25    2    2   29   24  117  277
   84   30   25    2    2   29   24  145  277
   85   30   25    2    2   29   24  173  277
   86   30   25    2    2   29   24  201  277
   87   30   25    2    2   29   24  229  277
   88   30   25    2    2   29   24  257  277
   89   30   25    2    2   29   24  285  277
   90   30   25    2    2   29   24  313  277
   91   30   25    2    2   29   24  341  277
   92   31   25    2    2   30   24   30  300
   93   31   25    2    2   30   24   59  300
   94   31   25    2    2   30   24   88  300
   95   30   25    2    2   29   24  117  300
   96   30   25    2    2   29   24  145  300
   97   30   25    2    2   29   24  173  300
   98   30   25    2    2   29   24  201  300
   99   30   25    2    2   29   24  229  300
  100   30   25    2    2   29   24  257  300
  101   30   25    2    2   29   24  285  300
  102   30   25    2    2   29   24  313  300
  103   30   25    2    2   29   24  341  300
  104   31   25    2    2   30   24   30  323
  105   31   25    2    2   30   24   59  323
  106   31   25    2    2   30   24   88  323
  107   30   25    2    2   29   24  117  323
  108   30   25    2    2   29   24  173  323
  109   30   25    2    2   29   24  201  323
  110   30   25    2    2   29   24  229  323
  111   30   25    2    2   29   24  257  323
  112   30   25    2    2   29   24  285  323
  113   30   25    2    2   29   24  313  323
  114   30   25    2    2   29   24  341  323
  115   31   25    1    2   30   24    1  346
  116   31   25    2    2   30   24   30  346
  117   31   25    2    2   30   24   59  346
  118   31   25    2    2   30   24   88  346
  119   30   25    2    2   29   24  173  346
  120   30   25    2    2   29   24  201  346
  121   30   25    2    2   29   24  229  346
  122   30   25    2    2   29   24  257  346
  123   30   25    2    2   29   24  285  346
  124   30   25    2    2   29   24  313  346
  125   30   25    2    2   29   24  341  346
  126   31   25    1    2   30   24    1  369
  127   31   25    2    2   30   24   30  369
  128   31   25    2    2   30   24   59  369
  129   30   25    2    2   29   24  173  369
  130   30   25    2    2   29   24  201  369
  131   30   25    2    2   29   24  229  369
  132   30   25    2    2   29   24  257  369
  133   30   25    2    2   29   24  285  369
  134   30   25    2    2   29   24  313  369
  135   30   25    2    2   29   24  341  369
  136   31   25    1    2   30   24    1  392
  137   31   25    2    2   30   24   30  392
  138   31   25    2    2   30   24   59  392
  139   30   25    2    2   29   24  201  392
  140   30   25    2    2   29   24  229  392
  141   30   25    2    2   29   24  257  392
  142   30   25    2    2   29   24  285  392
  143   30   25    2    2   29   24  313  392
